,index,Municipio,casos,lat,lon,data
0,1,Canoas,4,-29.92,-51.18,17/08/2022
1,2,Caxias do Sul,4,-29.167778,-51.178889,17/08/2022
2,3,Garibaldi,3,-29.255833,-51.533889,17/08/2022
3,4,Igrejinha,3,-29.573889,-50.79,17/08/2022
4,5,Porto Alegre,20,-30.032778,-51.23,17/08/2022
5,6,Uruguaiana,2,-29.755,-57.087778,17/08/2022
6,7,Viamão,4,-30.080833,-51.022778,17/08/2022
7,8,Esteio,1,-29.860833,-51.178889,17/08/2022
8,9,Novo Hamburgo,3,-29.677778,-51.130833,17/08/2022
9,10,Passo Fundo,1,-28.262778,-52.406944,17/08/2022
10,11,São Marcos,1,-28.970833,-51.067778,17/08/2022
11,12,Campo Bom,1,-29.678889,-51.052778,17/08/2022
12,13,Santo Ângelo,1,-28.298889,-54.262778,17/08/2022
13,14,Monte Belo do Sul,1,-29.162778,-51.631944,17/08/2022
14,15,Gramado,1,-29.378889,-50.873889,17/08/2022
15,16,Parobé,1,-29.628889,-50.835,17/08/2022
16,17,São Lepoldo,1,-29.76,-51.146944,17/08/2022
17,18,Sapiranga,1,-29.637778,-51.006944,17/08/2022
18,19,Carlos Barbosa,1,-29.297778,-51.503889,17/08/2022
